service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
Dovida Melbourne Inner South & Bayside,Bismatro Pty Ltd,Home Care,Private Incorporated Body,"SUITE 3, 596 NORTH ROAD",Ormond,3204,-37.9043819999999,145.041497999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Arcare Nirvana Avenue,Arcare Pty Ltd,Residential,Private Incorporated Body,408 Waverley Road,Malvern East,3145,-37.878129,145.064594999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Dovida Melbourne Eastern Suburbs,Grace and Ease Pty Ltd,Home Care,Private Incorporated Body,22 KING STREET,Blackburn,3130,-37.820542,145.164008999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Care Companions (Monash) Pty Ltd,Care Companions (Monash) Pty Ltd,Home Care,Private Incorporated Body,171 ELEY ROAD,Blackburn South,3130,-37.847754,145.15142,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Active Community Group,D.E.G Pty Ltd,Home Care,Private Incorporated Body,4 Watts Street,Box Hill,3128,-37.8176539999999,145.125510999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Home Care and Flexible Care,Punman Pty Ltd,Home Care,Private Incorporated Body,212 Railway Parade,Noble Park,3174,-37.9752739999999,145.188392999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Comm Care,Comm Care Pty Ltd,Home Care,Private Incorporated Body,"Building 1 Level 1 Suite 1, 303-313 Burwood Highway",Burwood East,3151,-37.853503,145.161485999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Calvary The Regent,Calvary Aged Care Limited,Residential,Charitable,35-39 Regent Street,Mount Waverley,3149,-37.8830529999999,145.136816,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
In-home care,Texplore Pty Ltd,Home Care,Private Incorporated Body,"OFFICE 28, LEVEL 1, 270 FERNTREE GULLY ROAD",Notting Hill,3168,-37.900199,145.131405,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Australian Unity Home Care,Australian Unity Retirement Living Management Pty Ltd,Short-Term Restorative Care (STRC),Private Incorporated Body,818 Whitehorse Road,Box Hill,3128,-37.817404,145.115893,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
