stop_id,stop_name,latitude,longitude
11812,Blackburn Rd/Waverley Rd,-37.88674922,145.14651528
11813,Stableford Ave/Waverley Rd,-37.8871093,145.14878045
11814,Saladin Ave/Waverley Rd,-37.88753438,145.15231757
11815,Monash Aquatic & Recreation Centre/Waverley Rd,-37.88797093,145.15659357
11816,Myrtle St/Waverley Rd,-37.88836537,145.15991549
11817,Central Reserve/Waverley Rd,-37.88869861,145.16336406
11818,Stocks Ave/High St,-37.86411357,145.0858464
11819,Gloucester Rd/High St,-37.86444799,145.0886796
11820,Warrigal Rd/High Street Rd,-37.86582716,145.09370255
11821,Barrington Dr/High Street Rd,-37.86636175,145.09833817
11822,Winbirra Pde/High Street Rd,-37.86653634,145.10022072
11823,Vannam Dr/High Street Rd,-37.8669489,145.10344995
11824,Cleveland Rd/High Street Rd,-37.86717997,145.10604727
11825,Teck St/High Street Rd,-37.86734214,145.10772556
11827,Huntingdale Rd/High Street Rd,-37.86798793,145.1125859
11828,281 High Street Rd,-37.86829251,145.11528372
11829,Glen Iris Valley Tennis Club/High Street Rd,-37.86862049,145.11832201
11830,Park Rd/High Street Rd,-37.86918187,145.12300279
11831,Alice St/High Street Rd,-37.86935172,145.12461276
11832,Sunhill Rd/High Street Rd,-37.8698314,145.12870455
11833,Stephensons Rd/High Street Rd,-37.87012839,145.13094797
11834,Fleet St/High Street Rd,-37.8708296,145.13709195
11835,Josephine Ave/High Street Rd,-37.87113523,145.13989227
11836,Lawrence Rd/High Street Rd,-37.87151753,145.14298628
11837,Elm Gr/High Street Rd,-37.87188209,145.1461035
11838,Blackburn Rd/High Street Rd,-37.87226673,145.14935667
11839,Orchard St/High Street Rd,-37.87263255,145.15256488
11840,Medina Rd/High Street Rd,-37.87284811,145.15424208
11841,Lemair Ave/High Street Rd,-37.87297944,145.15629655
11842,Myers Ave/High Street Rd,-37.87338141,145.15894685
11843,Wesley College/High Street Rd,-37.87320501,145.15631367
11848,Burns Ave/Rosebank Ave,-37.93965361,145.13370548
11849,Premier Ave/Mitcham Rd,-37.83107812,145.19496102
11850,Grey St/Mitcham Rd,-37.83335214,145.19515558
11853,Terrara Rd/Canterbury Rd,-37.83684926,145.19166135
11854,Rooks Rd/Canterbury Rd,-37.83675612,145.18794782
11855,Brentford Square SC/Stevens Rd,-37.83743272,145.18506769
11856,Woodcrest Rd/Stevens Rd,-37.83938388,145.18361077
11857,Kingsley Ave/Stevens Rd,-37.84092933,145.18331148
11858,Wingrove St/Stevens Rd,-37.84241189,145.18302509
11860,Station St/Foch St,-37.83670406,145.12081507
11861,Sycamore St/Foch St,-37.83702462,145.12339775
11862,Foch St/Haig St,-37.83602308,145.12615028
11863,Devon St/Haig St,-37.8344688,145.12645095
11864,Prince St/Haig St,-37.83314747,145.12666618
11865,Peace St/Haig St,-37.83162002,145.12695479
11866,Canterbury Rd/Haig St,-37.82949026,145.12677004
11867,Stevens Rd/Jolimont Rd,-37.84436384,145.1822044
11868,Longbrae Ave/Jolimont Rd,-37.84412909,145.18042595
11869,Wingrove St/Hampshire Rd,-37.84262054,145.17903114
11870,Everglade Ave/Parkmore Rd,-37.84180128,145.17675575
11871,Cherryl St/Parkmore Rd,-37.84152355,145.17453524
11872,Springvale Rd/Parkmore Rd,-37.84121557,145.17211095
11874,Echunga Cl/Hawthorn Rd,-37.84758799,145.16927148
11875,St Thomas Ret Village/Hawthorn Rd,-37.84661081,145.16728408
11876,Romoly Dr/Mahoneys Rd,-37.8450821,145.1646058
11877,Mahoneys Reserve/Mahoneys Rd,-37.84350934,145.16488344
11878,Paul Rd/Mahoneys Rd,-37.84025551,145.16543
11879,Pacific Way/Mahoneys Rd,-37.8387995,145.16568198
11880,Deans Wood Rd/Canterbury Rd,-37.83345807,145.1606556
11881,Masons Rd/Blackburn Rd,-37.83132732,145.15522046
11882,Eustace St/Blackburn Rd,-37.82989394,145.15404041
11883,Walsham Rd/Blackburn Rd,-37.82876406,145.1532505
11884,Wolseley Cres/Blackburn Rd,-37.82391771,145.15223518
11885,Wolseley Cres/Blackburn Rd,-37.8238831,145.15232694
11886,Wellington Ave/Blackburn Rd,-37.82669115,145.15266592
11887,Walsham Rd/Blackburn Rd,-37.82861199,145.15332246
11888,Eustace St/Blackburn Rd,-37.83018844,145.15443075
11891,Wreford Rd/Canterbury Rd,-37.83165507,145.1456792
11892,Donald St/Canterbury Rd,-37.83134776,145.14333487
11893,Aberdeen Rd/Canterbury Rd,-37.83094481,145.14007262
11895,Middleborough Rd/Canterbury Rd,-37.83058085,145.13700258
11896,Wembley Park/Canterbury Rd,-37.83012818,145.1334576
11897,Canterbury Rd/Barkly St,-37.8292475,145.12963942
11898,Menzies St/Barkly St,-37.82783698,145.12991363
11899,Cherryhinton St/Barkly St,-37.82621998,145.13023849
